interview_id,title,rights,contributor,credit,n_segments,has_transcript
ddr-densho-1000-1,Gene Akutsu Interview I,cc,Densho,,37,True
ddr-densho-1000-2,Jim Akutsu Interview,cc,Densho,,50,True
ddr-densho-1000-3,Terry Aratani  -  Fred Matsumura  -  Kenneth Okuma  -  Henry Bruno Yamada Interview,cc,Densho,,17,True
ddr-densho-1000-4,Yone Bartholomew Interview I,cc,Densho,,28,True
ddr-densho-1000-5,Yone Bartholomew Interview II,cc,Densho,,40,True
ddr-densho-1000-6,Sue K. Embrey Interview,cc,Densho,,11,True
ddr-densho-1000-7,George Fugami Interview,cc,Densho,,55,True
ddr-densho-1000-8,Frank S. Fujii Interview,cc,Densho,,42,True
ddr-densho-1000-9,Francis Mas Fukuhara Interview,cc,Densho,,27,True
ddr-densho-1000-10,Fumiko Uyeda Groves Interview,cc,Densho,,45,True
ddr-densho-1000-11,Junkoh Harui Interview,cc,Densho,,27,True
ddr-densho-1000-12,Mitsuko Hashiguchi Interview,cc,Densho,,81,True
ddr-densho-1000-13,Susan Hayase Interview,cc,Densho,,11,True
ddr-densho-1000-14,Seichi Hayashida Interview,cc,Densho,,39,True
ddr-densho-1000-15,Fumiko Hayashida Interview,cc,Densho,,40,True
ddr-densho-1000-16,Aiko Herzig-Yoshinaga Interview I,cc,Densho,,9,True
ddr-densho-1000-17,Gordon Hirabayashi Interview I,cc,Densho,,26,True
ddr-densho-1000-18,Gordon Hirabayashi Interview II,cc,Densho,,18,True
ddr-densho-1000-19,Gordon Hirabayashi Interview III,cc,Densho,,8,True
ddr-densho-1000-20,Gordon Hirabayashi Interview IV,cc,Densho,,14,True
ddr-densho-1000-21,Fred Hirasuna Interview,cc,Densho,,14,True
ddr-densho-1000-22,Mary Hirata Interview,cc,Densho,,38,True
ddr-densho-1000-23,Tokio Hirotaka - Toshio Ito - Joe Matsuzawa Interview,cc,Densho,,47,True
ddr-densho-1000-24,Mutsu Homma Interview,cc,Densho,,56,True
ddr-densho-1000-25,Takashi Hori - Yoshito Mizuta - Elmer Tazuma Interview,cc,Densho,,54,True
ddr-densho-1000-26,Akio Hoshino Interview,cc,Densho,,17,True
ddr-densho-1000-27,Ryo Imamura Interview,cc,Densho,,35,True
ddr-densho-1000-28,Daniel Inouye Interview,cc,Densho,,20,True
ddr-densho-1000-29,Susumu Ito Interview,cc,Densho,,28,True
ddr-densho-1000-30,Hitoshi H. Kajihara Interview,cc,Densho,,13,True
ddr-densho-1000-31,Louise Kashino Interview,cc,Densho,,32,True
ddr-densho-1000-32,Louise Kashino - Sadaichi Kubota - Bill Thompson Interview,cc,Densho,,19,True
ddr-densho-1000-33,Chris Kato - Yoshi Mamiya - Tad Sato Interview,cc,Densho,,23,True
ddr-densho-1000-34,Cherry Kinoshita Interview,cc,Densho,,29,True
ddr-densho-1000-35,Frank Kitamoto Interview,cc,Densho,,43,True
ddr-densho-1000-36,Minoru Kiyota Interview,cc,Densho,,14,True
ddr-densho-1000-37,Kenge Kobayashi Interview,cc,Densho,,21,True
ddr-densho-1000-38,Spady Koyama Interview I,cc,Densho,,26,True
ddr-densho-1000-39,Spady Koyama Interview II,cc,Densho,,15,True
ddr-densho-1000-40,Sadaichi Kubota Interview,cc,Densho,,34,True
ddr-densho-1000-41,Akiko Kurose Interview I,cc,Densho,,31,True
ddr-densho-1000-42,Akiko Kurose Interview II,cc,Densho,,26,True
ddr-densho-1000-43,Angus Macbeth Interview,cc,Densho,,19,True
ddr-densho-1000-44,William Marutani Interview,cc,Densho,,25,True
ddr-densho-1000-45,Takashi Matsui Interview,cc,Densho,,36,True
ddr-densho-1000-46,Fred Matsumura Interview,cc,Densho,,34,True
ddr-densho-1000-47,Tom Matsuoka Interview,cc,Densho,,32,True
ddr-densho-1000-48,Kay Matsuoka Interview,cc,Densho,,49,True
ddr-densho-1000-49,Yukiko Miyake Interview,cc,Densho,,36,True
ddr-densho-1000-50,Frank Miyamoto Interview I,cc,Densho,,19,True
ddr-densho-1000-51,Frank Miyamoto Interview II,cc,Densho,,22,True
ddr-densho-1000-52,Frank Miyamoto Interview III,cc,Densho,,29,True
