segment_id,interview_id,narrator_ids,topic_terms,geography_terms,extent,api_url
ddr-densho-1000-1-1,ddr-densho-1000-1,oh:1,Immigration and citizenship -- Arrival,"Seattle, Washington",00:03:44,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-1/
ddr-densho-1000-1-2,ddr-densho-1000-1,oh:1,Geographic communities -- Washington -- Seattle,"Seattle, Washington",00:03:01,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-2/
ddr-densho-1000-1-3,ddr-densho-1000-1,oh:1,World War II -- Pearl Harbor and aftermath -- Personal recollections,,00:02:19,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-3/
ddr-densho-1000-1-4,ddr-densho-1000-1,oh:1,Race and racism -- Discrimination,"Seattle, Washington",00:05:11,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-4/
ddr-densho-1000-1-5,ddr-densho-1000-1,oh:1,Identity and values -- Family,,00:03:19,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-5/
ddr-densho-1000-1-6,ddr-densho-1000-1,oh:1,World War II -- Pearl Harbor and aftermath -- Personal recollections|World War II -- Pearl Harbor and aftermath -- Responses of non-Japanese Americans,,00:01:50,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-6/
ddr-densho-1000-1-7,ddr-densho-1000-1,oh:1,"World War II -- Pearl Harbor and aftermath -- Arrest, searches, and seizures|World War II -- Mass removal (""evacuation"") -- Preparation","Seattle, Washington",00:07:45,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-7/
ddr-densho-1000-1-8,ddr-densho-1000-1,oh:1,World War II -- Temporary Assembly Centers -- Living conditions,,00:05:08,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-8/
ddr-densho-1000-1-9,ddr-densho-1000-1,oh:1,World War II -- Concentration camps -- Food|World War II -- Concentration camps -- Holidays and festivals,,00:02:51,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-9/
ddr-densho-1000-1-10,ddr-densho-1000-1,oh:1,World War II -- Concentration camps -- Impact of incarceration,,00:03:51,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-10/
ddr-densho-1000-1-11,ddr-densho-1000-1,oh:1,World War II -- Concentration camps -- The journey|World War II -- Concentration camps -- Living conditions,,00:11:41,https://ddr.densho.org/api/0.2/ddr-densho-1000-1-11/
